MODEL,BENCH,EN,DE,FR,ES,IT,PT,KO,JA
Mistral,ORG,79.2,74.2,79.2,70.0,74.4,70.19999999999999,76.0,73.4
Mistral,SS,73.6,72.0,68.8,78.2,78.0,81.8,53.0,51.800000000000004
Mistral,OS,73.8,74.4,73.2,78.0,80.2,85.39999999999999,64.4,62.8
Mistral,PSS,75.2,70.0,68.8,76.8,78.8,77.0,52.2,52.800000000000004
Mistral,POS,78.4,74.6,75.4,78.8,79.4,83.0,54.800000000000004,55.2
Mistral,TOTAL,76.04,73.04,73.08,76.36,78.16000000000001,79.47999999999999,60.080000000000005,59.2
LLaMA,ORG,80.2,85.39999999999999,81.39999999999999,78.8,82.39999999999999,78.8,88.4,88.0
LLaMA,SS,69.6,45.6,53.2,64.60000000000001,57.99999999999999,58.599999999999994,25.0,23.799999999999997
LLaMA,OS,66.60000000000001,51.0,58.4,64.0,60.199999999999996,64.2,34.8,28.199999999999996
LLaMA,PSS,76.8,55.60000000000001,62.2,70.19999999999999,65.4,67.2,29.4,29.799999999999997
LLaMA,POS,76.4,58.4,65.2,71.6,66.8,69.39999999999999,29.599999999999998,22.8
LLaMA,TOTAL,73.92,59.2,64.08,69.84,66.56,67.63999999999999,41.44,38.52
Gemini,ORG,75.4,72.2,76.2,71.0,73.8,73.0,67.2,70.39999999999999
Gemini,SS,81.0,78.8,75.8,82.19999999999999,79.4,83.8,78.4,78.0
Gemini,OS,78.8,81.0,78.4,81.6,82.39999999999999,82.19999999999999,85.39999999999999,78.4
Gemini,PSS,86.8,87.6,85.0,84.6,88.4,86.8,84.8,80.80000000000001
Gemini,POS,87.6,87.2,87.4,89.0,88.8,88.2,89.2,85.2
Gemini,TOTAL,81.92,81.36,80.55999999999999,81.67999999999999,82.56,82.8,81.0,78.56
Qwen3-8B,ORG,63.0,55.800000000000004,62.4,60.8,59.4,59.599999999999994,55.2,55.60000000000001
Qwen3-8B,SS,70.0,75.8,73.0,76.8,77.8,77.8,77.0,73.2
Qwen3-8B,OS,72.6,75.2,74.8,78.4,79.80000000000001,80.80000000000001,82.6,75.6
Qwen3-8B,PSS,72.6,76.6,71.39999999999999,78.0,74.0,77.2,73.0,72.0
Qwen3-8B,POS,77.8,81.39999999999999,78.4,79.60000000000001,80.80000000000001,80.2,78.0,76.4
Qwen3-8B,TOTAL,71.2,72.96,72.0,74.72,74.36,75.11999999999999,73.16,70.55999999999999
Qwen3-14B,ORG,70.39999999999999,57.4,61.6,61.0,61.4,61.8,32.2,33.800000000000004
Qwen3-14B,SS,82.8,83.6,83.8,86.2,87.8,88.8,91.4,88.8
Qwen3-14B,OS,82.39999999999999,84.6,85.0,85.2,86.0,87.4,92.2,86.8
Qwen3-14B,PSS,83.0,84.8,84.0,84.6,86.8,86.2,90.2,89.8
Qwen3-14B,POS,86.2,88.2,86.2,89.0,87.2,88.6,93.4,90.0
Qwen3-14B,TOTAL,80.96,79.72,80.11999999999999,81.2,81.84,82.55999999999999,79.88,77.84
